ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount,Pagination__prevPage
02/04/2021,12,1575,null
18/03/2021,12,1375,
09/03/2021,12,1550,
08/03/2021,12,1410,
04/03/2021,12,1680,
19/02/2021,12,1670,
18/02/2021,12,1546,
06/02/2021,12,1450,
26/01/2021,12,1914,
20/01/2021,12,1650,
20/01/2021,12,1675,
14/01/2021,12,1526,
29/12/2020,12,1545,
24/12/2020,12,1600,
16/12/2020,12,1500,
13/12/2020,12,1349,
04/12/2020,12,1400,
30/11/2020,12,1275,
29/11/2020,12,1450,
19/11/2020,12,1216,
15/11/2020,12,1267,
02/11/2020,12,1600,
28/10/2020,12,1220,
24/10/2020,12,1420,
23/10/2020,12,1220,
19/10/2020,12,1280,
13/10/2020,12,1488,
07/10/2020,12,1299,
05/10/2020,12,1299,
24/09/2020,12,1372,
05/09/2020,12,1550,
03/09/2020,12,1650,
31/08/2020,12,1246,
30/08/2020,12,1736,
30/08/2020,12,1650,
26/08/2020,12,1300,
05/08/2020,12,1500,
04/08/2020,12,1386,
09/07/2020,12,1267,
22/06/2020,12,1300,
17/06/2020,12,1220,
15/06/2020,12,1175,
12/06/2020,12,1100,
11/06/2020,12,1765,
17/05/2020,12,1385,
14/05/2020,12,1385,
12/05/2020,12,1400,
12/05/2020,12,1395,
07/05/2020,12,1200,
07/05/2020,12,1260,
04/05/2020,12,1233,
04/05/2020,12,1123,
30/04/2020,12,951,
28/04/2020,12,915,
28/04/2020,12,999,
27/04/2020,12,915,
24/04/2020,12,1233,
14/04/2020,12,998,
05/04/2020,12,880,
04/04/2020,12,860,
03/04/2020,12,870,
18/03/2020,12,970,
15/03/2020,12,850,
11/03/2020,12,840,
10/03/2020,12,820,
09/03/2020,12,800,
02/03/2020,12,711,
25/02/2020,12,850,
14/02/2020,12,780,
22/01/2020,12,666,
20/01/2020,12,660,
20/01/2020,12,677,
19/01/2020,12,690,
31/12/2019,12,700,
22/12/2019,12,700,
19/12/2019,12,705,
18/12/2019,12,682,
15/12/2019,12,700,
14/12/2019,12,700,
13/12/2019,12,694,
13/12/2019,12,675,
11/12/2019,12,670,
09/12/2019,12,675,
04/12/2019,12,693,
30/11/2019,12,675,
29/11/2019,12,801,
29/11/2019,12,699,
26/11/2019,12,680,
21/11/2019,12,680,
19/11/2019,12,680,
18/11/2019,12,640,
08/11/2019,12,665,
01/11/2019,12,559,
01/11/2019,12,615,
25/10/2019,12,647,
17/10/2019,12,640,
05/10/2019,12,650,
05/10/2019,12,675,
04/10/2019,12,669,
29/09/2019,12,664,
24/09/2019,12,665,
15/09/2019,12,641,
15/09/2019,12,671,
10/09/2019,12,650,
03/09/2019,12,695,
31/08/2019,12,675,
25/08/2019,12,665,
19/08/2019,12,650,
13/08/2019,12,659,
09/08/2019,12,680,
03/08/2019,12,684,
29/07/2019,12,670,
29/07/2019,12,670,
27/07/2019,12,635,
27/07/2019,12,628,
21/07/2019,12,675,
19/07/2019,12,600,
19/07/2019,12,707,
07/07/2019,12,700,
05/07/2019,12,690,
03/07/2019,12,690,
03/07/2019,12,651,
03/07/2019,12,590,
02/07/2019,12,680,
28/06/2019,12,675,
25/06/2019,12,675,
22/06/2019,12,670,
20/06/2019,12,600,
19/06/2019,12,646,
08/06/2019,12,679,
08/06/2019,12,635,
30/05/2019,12,625,
30/05/2019,12,648,
29/05/2019,12,640,
29/05/2019,12,630,
22/05/2019,12,625,
17/05/2019,12,627,
14/05/2019,12,615,
22/04/2019,12,670,
18/04/2019,12,672,
10/04/2019,12,662,
03/04/2019,12,670,
28/03/2019,12,672,
23/03/2019,12,687,
21/03/2019,12,675,
15/03/2019,12,615,
13/03/2019,12,675,
12/03/2019,12,640,
11/03/2019,12,654,
02/03/2019,12,722,
28/02/2019,12,735,
26/02/2019,12,600,
26/02/2019,12,600,
20/02/2019,12,735,
17/02/2019,12,631,
11/02/2019,12,592,
07/02/2019,12,639,
07/02/2019,12,595,
01/02/2019,12,650,
30/01/2019,12,610,
26/01/2019,12,609,
25/01/2019,12,590,
18/01/2019,12,582,
10/01/2019,12,591,
07/01/2019,12,599,
01/01/2019,12,591,
30/12/2018,12,600,
21/12/2018,12,540,
20/12/2018,12,545,
17/12/2018,12,547,
13/12/2018,12,549,
12/12/2018,12,519,
05/12/2018,12,550,
04/12/2018,12,520,
26/11/2018,12,529,
23/11/2018,12,549,
20/11/2018,12,545,
12/11/2018,12,511,
09/11/2018,12,570,
06/11/2018,12,535,
01/11/2018,12,515,
01/11/2018,12,500,
31/10/2018,12,511,
29/10/2018,12,537,
25/10/2018,12,480,
24/10/2018,12,490,
23/10/2018,12,496,
17/10/2018,12,540,
13/10/2018,12,550,
11/10/2018,12,549,
03/10/2018,12,548,
03/10/2018,12,520,
28/09/2018,12,510,
24/09/2018,12,515,
22/09/2018,12,500,
14/09/2018,12,555,
11/09/2018,12,585,
10/09/2018,12,585,
08/09/2018,12,520,
30/08/2018,12,551,
29/08/2018,12,485,
28/08/2018,12,500,
26/08/2018,12,520,
26/08/2018,12,514,
22/08/2018,12,500,
02/08/2018,12,511,
17/07/2018,12,550,
07/07/2018,12,555,
18/06/2018,12,533,
16/06/2018,12,532,
05/06/2018,12,535,
31/05/2018,12,535,
30/05/2018,12,501,
30/05/2018,12,526,
20/05/2018,12,525,
16/05/2018,12,520,
14/05/2018,12,483,
11/05/2018,12,512,
08/05/2018,12,561,
04/05/2018,12,556,
04/05/2018,12,545,
04/05/2018,12,545,
30/04/2018,12,535,
27/04/2018,12,543,
18/04/2018,12,500,
17/04/2018,12,481,
13/04/2018,12,480,
09/04/2018,12,436,
25/03/2018,12,475,
25/03/2018,12,474,
20/03/2018,12,461,
06/03/2018,12,519,
05/03/2018,12,465,
03/03/2018,12,480,
02/03/2018,12,465,
21/02/2018,12,483,
16/02/2018,12,400,
12/02/2018,12,425,
12/02/2018,12,450,
10/02/2018,12,435,
08/02/2018,12,445,
29/01/2018,12,469,
27/01/2018,12,480,
23/01/2018,12,460,
20/01/2018,12,475,
18/01/2018,12,515,
15/01/2018,12,479,
13/01/2018,12,481,
12/01/2018,12,490,
04/01/2018,12,436,
