ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
29/03/2021,7,1730
10/03/2021,7,2218
23/10/2020,7,734
06/05/2020,7,1640
16/02/2020,7,1099
29/12/2019,7,839
15/10/2019,7,700
08/10/2019,7,750
24/08/2019,7,1275
09/04/2019,7,1075
09/04/2019,7,900
14/02/2019,7,950
29/11/2018,7,715
13/09/2018,7,800
23/01/2018,7,625
18/12/2017,7,550
09/10/2017,7,600
13/09/2016,7,624
22/07/2016,7,500
08/06/2016,7,500
11/05/2016,7,500
16/02/2016,7,300
12/02/2016,7,240
31/01/2016,7,600
26/06/2015,7,550
05/06/2015,7,615
31/05/2015,7,260
