ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
29/03/2021,8.5,2398
22/03/2021,8.5,2290
15/02/2021,8.5,2188
28/01/2021,8.5,2149
26/01/2021,8.5,2148
12/01/2021,8.5,2000
28/12/2020,8.5,2100
23/12/2020,8.5,1600
18/12/2020,8.5,1962
10/12/2020,8.5,2000
07/11/2020,8.5,1960
06/11/2020,8.5,1950
06/11/2020,8.5,1838
19/10/2020,8.5,1900
13/10/2020,8.5,1877
25/09/2020,8.5,1900
17/09/2020,8.5,1560
08/09/2020,8.5,1604
16/08/2020,8.5,1716
30/07/2020,8.5,1867
21/07/2020,8.5,1851
19/07/2020,8.5,2172
09/07/2020,8.5,1719
01/07/2020,8.5,1450
23/06/2020,8.5,1742
13/06/2020,8.5,1849
05/06/2020,8.5,1949
03/06/2020,8.5,1500
28/05/2020,8.5,1895
22/05/2020,8.5,1943
21/05/2020,8.5,1780
30/04/2020,8.5,1601
20/04/2020,8.5,1380
15/04/2020,8.5,1419
13/04/2020,8.5,1340
17/03/2020,8.5,1050
07/03/2020,8.5,1050
23/02/2020,8.5,1225
19/01/2020,8.5,1245
16/01/2020,8.5,1179
13/01/2020,8.5,1012
10/12/2019,8.5,1050
09/12/2019,8.5,1000
06/12/2019,8.5,1319
06/12/2019,8.5,800
24/11/2019,8.5,801
22/11/2019,8.5,802
20/11/2019,8.5,950
07/11/2019,8.5,948
07/11/2019,8.5,920
03/11/2019,8.5,800
03/11/2019,8.5,800
10/10/2019,8.5,966
07/10/2019,8.5,829
02/10/2019,8.5,924
29/09/2019,8.5,829
29/09/2019,8.5,949
20/09/2019,8.5,950
17/09/2019,8.5,800
16/09/2019,8.5,900
03/09/2019,8.5,1049
31/08/2019,8.5,926
30/08/2019,8.5,1044
19/08/2019,8.5,985
19/08/2019,8.5,985
18/08/2019,8.5,961
17/08/2019,8.5,960
10/08/2019,8.5,899
04/08/2019,8.5,900
22/07/2019,8.5,1015
20/07/2019,8.5,923
18/07/2019,8.5,1019
18/07/2019,8.5,1019
16/07/2019,8.5,951
14/07/2019,8.5,1050
06/07/2019,8.5,955
30/06/2019,8.5,838
28/06/2019,8.5,842
21/06/2019,8.5,800
19/06/2019,8.5,990
18/06/2019,8.5,900
15/06/2019,8.5,925
13/06/2019,8.5,850
12/06/2019,8.5,921
01/06/2019,8.5,920
17/05/2019,8.5,841
15/05/2019,8.5,925
15/05/2019,8.5,915
22/04/2019,8.5,889
17/04/2019,8.5,855
12/04/2019,8.5,950
09/04/2019,8.5,950
06/04/2019,8.5,980
26/03/2019,8.5,845
22/03/2019,8.5,886
21/03/2019,8.5,951
15/03/2019,8.5,944
15/03/2019,8.5,867
14/03/2019,8.5,868
11/03/2019,8.5,831
03/03/2019,8.5,944
02/03/2019,8.5,933
27/02/2019,8.5,830
07/02/2019,8.5,850
04/02/2019,8.5,850
27/01/2019,8.5,760
22/01/2019,8.5,936
22/01/2019,8.5,850
17/01/2019,8.5,895
07/01/2019,8.5,925
28/12/2018,8.5,935
28/12/2018,8.5,800
25/12/2018,8.5,945
06/12/2018,8.5,936
06/11/2018,8.5,790
04/11/2018,8.5,1000
18/10/2018,8.5,880
04/10/2018,8.5,850
25/09/2018,8.5,900
20/09/2018,8.5,850
14/09/2018,8.5,782
10/09/2018,8.5,900
06/09/2018,8.5,895
05/09/2018,8.5,821
28/08/2018,8.5,815
20/08/2018,8.5,800
