ProductActivity__createdAt,Date,ProductActivity__shoeSize,ProductActivity__localAmount
14/04/2021,2021-04-14,9,1830
14/04/2021,2021-04-14,9,2250
12/04/2021,2021-04-12,10,1885
11/04/2021,2021-04-11,10.5,1550
08/04/2021,2021-04-08,9.5,1706
08/04/2021,2021-04-08,10,1889
08/04/2021,2021-04-08,10,1790
08/04/2021,2021-04-08,10.5,1750
07/04/2021,2021-04-07,9,2100
07/04/2021,2021-04-07,11.5,1775
06/04/2021,2021-04-06,11,1689
06/04/2021,2021-04-06,13,1600
05/04/2021,2021-04-05,10.5,1600
05/04/2021,2021-04-05,11,1650
04/04/2021,2021-04-04,9.5,2515
03/04/2021,2021-04-03,10,1838
02/04/2021,2021-04-02,11,1750
02/04/2021,2021-04-02,12,1575
01/04/2021,2021-04-01,11,1750
30/03/2021,2021-03-30,9,2090
29/03/2021,2021-03-29,8.5,2398
29/03/2021,2021-03-29,9.5,2090
28/03/2021,2021-03-28,10,1910
26/03/2021,2021-03-26,10,1790
26/03/2021,2021-03-26,11.5,1920
26/03/2021,2021-03-26,13,1499
23/03/2021,2021-03-23,9.5,2021
22/03/2021,2021-03-22,8.5,2290
21/03/2021,2021-03-21,9,2098
20/03/2021,2021-03-20,9,2098
20/03/2021,2021-03-20,10.5,1873
20/03/2021,2021-03-20,10.5,1676
19/03/2021,2021-03-19,10.5,1798
18/03/2021,2021-03-18,12,1375
15/03/2021,2021-03-15,10,1900
14/03/2021,2021-03-14,9,2041
14/03/2021,2021-03-14,9,2040
12/03/2021,2021-03-12,10,1900
11/03/2021,2021-03-11,9.5,2000
09/03/2021,2021-03-09,12,1550
08/03/2021,2021-03-08,11,2112
08/03/2021,2021-03-08,12,1410
04/03/2021,2021-03-04,12,1680
03/03/2021,2021-03-03,11,1790
01/03/2021,2021-03-01,10.5,2144
01/03/2021,2021-03-01,10.5,1884
27/02/2021,2021-02-27,10.5,1880
26/02/2021,2021-02-26,9.5,2008
25/02/2021,2021-02-25,9.5,2080
24/02/2021,2021-02-24,10.5,1800
24/02/2021,2021-02-24,11,2156
23/02/2021,2021-02-23,10.5,1799
23/02/2021,2021-02-23,10.5,2162
23/02/2021,2021-02-23,11,1749
22/02/2021,2021-02-22,10.5,1795
22/02/2021,2021-02-22,11.5,1869
21/02/2021,2021-02-21,9.5,2192
21/02/2021,2021-02-21,13,1486
21/02/2021,2021-02-21,13,1440
19/02/2021,2021-02-19,12,1670
18/02/2021,2021-02-18,10.5,1720
18/02/2021,2021-02-18,12,1546
16/02/2021,2021-02-16,13,1200
15/02/2021,2021-02-15,8.5,2188
15/02/2021,2021-02-15,11,1790
14/02/2021,2021-02-14,9,2026
14/02/2021,2021-02-14,10.5,1797
13/02/2021,2021-02-13,9,1716
12/02/2021,2021-02-12,9.5,2000
12/02/2021,2021-02-12,9.5,2000
12/02/2021,2021-02-12,10.5,1884
11/02/2021,2021-02-11,10,1875
11/02/2021,2021-02-11,13,1300
08/02/2021,2021-02-08,9.5,1700
08/02/2021,2021-02-08,10,1800
06/02/2021,2021-02-06,12,1450
04/02/2021,2021-02-04,9.5,2294
04/02/2021,2021-02-04,10.5,1681
02/02/2021,2021-02-02,9,2300
02/02/2021,2021-02-02,10.5,1675
01/02/2021,2021-02-01,9.5,1832
01/02/2021,2021-02-01,11,1600
31/01/2021,2021-01-31,10.5,1600
30/01/2021,2021-01-30,9,2083
29/01/2021,2021-01-29,9.5,2424
29/01/2021,2021-01-29,11,1515
29/01/2021,2021-01-29,13,1276
28/01/2021,2021-01-28,8.5,2149
28/01/2021,2021-01-28,9.5,1821
28/01/2021,2021-01-28,10.5,1798
26/01/2021,2021-01-26,8.5,2148
26/01/2021,2021-01-26,10,1685
26/01/2021,2021-01-26,12,1914
25/01/2021,2021-01-25,9.5,1944
22/01/2021,2021-01-22,10.5,1701
22/01/2021,2021-01-22,11.5,1451
21/01/2021,2021-01-21,10.5,1650
20/01/2021,2021-01-20,12,1650
20/01/2021,2021-01-20,12,1675
19/01/2021,2021-01-19,9,1877
19/01/2021,2021-01-19,10,1695
19/01/2021,2021-01-19,10.5,1699
14/01/2021,2021-01-14,12,1526
13/01/2021,2021-01-13,10,1605
13/01/2021,2021-01-13,10.5,1465
12/01/2021,2021-01-12,8.5,2000
12/01/2021,2021-01-12,10,1846
12/01/2021,2021-01-12,11,1840
10/01/2021,2021-01-10,10.5,1900
09/01/2021,2021-01-09,11.5,2212
09/01/2021,2021-01-09,11.5,1515
08/01/2021,2021-01-08,10,1850
05/01/2021,2021-01-05,13,1200
04/01/2021,2021-01-04,9.5,2442
04/01/2021,2021-01-04,11,1755
04/01/2021,2021-01-04,13,1195
02/01/2021,2021-01-02,11,1730
30/12/2020,2020-12-30,10,1501
30/12/2020,2020-12-30,10,1855
30/12/2020,2020-12-30,11.5,1650
29/12/2020,2020-12-29,12,1545
28/12/2020,2020-12-28,8.5,2100
26/12/2020,2020-12-26,10.5,1400
26/12/2020,2020-12-26,11,1510
24/12/2020,2020-12-24,12,1600
23/12/2020,2020-12-23,8.5,1600
21/12/2020,2020-12-21,10,1750
21/12/2020,2020-12-21,11.5,1598
19/12/2020,2020-12-19,10.5,1697
18/12/2020,2020-12-18,8.5,1962
16/12/2020,2020-12-16,12,1500
15/12/2020,2020-12-15,10.5,1845
15/12/2020,2020-12-15,11.5,1579
14/12/2020,2020-12-14,9.5,1800
